Date,Author,Version,Rating,Review Title,Review Description,Categories
2025-06-28T16:19:11-07:00,pm15kc_yeep,EARLYACCESS-0.3.2-653,5,It is fun,Gravity is a fun game where you can play thing. There’s a punching mode racing mode and a tagging mode. There’s lots of items in there. It’s really fun. ￼,
2025-06-28T14:20:43-07:00,Cheesevr13,EARLYACCESS-0.3.2-653,5,Chill community,mega fun,
2025-06-28T13:56:17-07:00,LarsHoneytoast,EARLYACCESS-0.3.2-653,5,Very good,I love it!!!!!!!!!!!,
2025-06-28T12:56:02-07:00,littleWORM7,EARLYACCESS-0.3.2-653,5,MOSHPIT,AWSOME MOSHPIT UPDATE,
2025-06-28T12:52:21-07:00,BOBCARTER6,EARLYACCESS-0.3.2-653,5,Good game,"Good game devs i don’t know how you come up with it ………………………………/………6.,………;/./………(.),(,(?,$,)🙃🙂🙂😍😌🥸🙂😒🥰😕🥰😜😕😇😝😏🙂😏😇😒🤪🙂😒🙂😒😙🙂😒😇😒😒🤪😇😒🙂🙂‍↔️🙂🙂‍↔️🤣🤩😂😌😎😅😎🥹😎😊😏😇🤩🙂🤩🤣😜😊🙂‍↕️😊😏😇😗😏😅🥸😂🥸🤣😙😏😇😒😒🙂🙂‍↔️🥰😞😘🙁🥰🤪😒🥰😜😒😜😍😟😍😜😕🙂🤪😒😘🙁😘😕😍😜😕🥰😕🥰🤪😜😇🥸😍😎😍😎😌🥸😌🥸😍🥸😎😎🥸🥸😌🥸😌😌😎🥸🥸🥸🥸😊😊🥸😊🥸😍🤩😍🤩😍🥸🤪😍😒😌🙂‍↔️😒😍🤨😞😍😏😌😍🤩😇😒😌🤪😍🥸🥸😍🤩😒😇😍🤪😒🤩😍😇🤩🤩😍😒😍🥸😊🥸😊🥸😊🥸😊🥸😊🥸😊🥸😊🥸😊🥸😊🤩😊🤩😊🙂‍↔️😊🤩🥸🥸😊🥸😊🥸🥸🥸😊🥸🤓☺️🤓☺️",
2025-06-28T12:41:49-07:00,TeeZee79,EARLYACCESS-0.3.2-653,5,this game has potential,"Even though this game seems like a yeeps knock off it has potential. sometimes it’s unexplanatory for some things, but this game just came out. so we just have to be patient.￼￼",
2025-06-28T12:33:02-07:00,MrFunyun_VR,EARLYACCESS-0.3.2-653,5,Devs cooked,I like this game a lot it is like yeeps hide and seek but different in ways,
2025-06-28T11:58:22-07:00,Fr0ggie,EARLYACCESS-0.3.2-653,5,W game,Fire game I love it it's really fun,
2025-06-28T11:38:35-07:00,FloogyVR,EARLYACCESS-0.3.2-653,5,good,this game is so good i love it it better than yeeps and just a lot to explore and fun,
2025-06-28T09:45:29-07:00,baconnvr,EARLYACCESS-0.3.2-653,5,Amazing game,This game WILL be the next big VR game,
